,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,number_of_bids,tender_count
1792,2022-2023,National Health Mission,Technical Evaluation,Services,0 bids,1
1793,2022-2023,National Health Mission,Technical Evaluation,Services,4 and more bids,1
1794,2022-2023,National Health Mission,Technical Evaluation,Works,0 bids,125
1795,2022-2023,National Health Mission,Technical Evaluation,Works,2 bids,1
1796,2022-2023,National Health Mission,Technical Evaluation,Works,3 bids,6
1797,2022-2023,National Health Mission,Technical Evaluation,Works,4 and more bids,20
1798,2022-2023,National Health Mission,To Be Opened,Goods,0 bids,2
1799,2022-2023,National Health Mission,To Be Opened,Services,0 bids,1
1800,2022-2023,National Health Mission,To Be Opened,Works,0 bids,34
1801,2022-2023,National Health Mission,To Be Opened,Works,2 bids,1
1802,2022-2023,National Health Mission,To Be Opened,Works,3 bids,1
1803,2022-2023,National Health Mission,To Be Opened,Works,4 and more bids,12
1804,2022-2023,Office of the Chief Electoral Officer Assam,AOC,Services,0 bids,1
1805,2022-2023,Office of the Chief Electoral Officer Assam,AOC,Services,4 and more bids,1
1806,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Goods,0 bids,5
1807,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Goods,4 and more bids,2
1808,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Services,4 and more bids,1
1809,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,0 bids,50
1810,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,2 bids,1
1811,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,3 bids,4
1812,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,4 and more bids,13
1813,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Goods,0 bids,4
1814,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Services,0 bids,2
1815,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Services,4 and more bids,2
1816,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,0 bids,47
1817,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,3 bids,2
1818,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,4 and more bids,10
1819,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Bid Opening,Goods,0 bids,1
1820,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Bid Opening,Goods,4 and more bids,1
1821,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Bid Opening,Works,0 bids,2
1822,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Evaluation,Services,0 bids,1
1823,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Evaluation,Works,0 bids,1
1824,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Goods,0 bids,1
1825,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,0 bids,3
1826,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Bid Opening,Goods,0 bids,8
1827,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Bid Opening,Services,0 bids,1
1828,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Bid Opening,Works,0 bids,19
1829,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Bid Opening,Works,3 bids,2
1830,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Bid Opening,Works,4 and more bids,3
1831,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Goods,0 bids,1
1832,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Works,0 bids,1
1833,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Works,4 and more bids,2
1834,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,To Be Opened,Services,0 bids,2
1835,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,To Be Opened,Works,0 bids,7
1836,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,To Be Opened,Works,3 bids,1
1837,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,To Be Opened,Works,4 and more bids,2
1838,2022-2023,Principal Secretary- P and RD- Assam Secretariat,AOC,Goods,0 bids,9
1839,2022-2023,Principal Secretary- P and RD- Assam Secretariat,AOC,Goods,2 bids,1
1840,2022-2023,Principal Secretary- P and RD- Assam Secretariat,AOC,Goods,4 and more bids,3
1841,2022-2023,Principal Secretary- P and RD- Assam Secretariat,AOC,Services,0 bids,5
1842,2022-2023,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,0 bids,11
1843,2022-2023,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,2 bids,1
1844,2022-2023,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,4 and more bids,1
1845,2022-2023,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Goods,0 bids,5
1846,2022-2023,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Works,0 bids,2
1847,2022-2023,Principal Secretary- P and RD- Assam Secretariat,Retender,Goods,0 bids,2
1848,2022-2023,Principal Secretary- P and RD- Assam Secretariat,Retender,Works,0 bids,2
1849,2022-2023,Principal Secretary- P and RD- Assam Secretariat,Technical Bid Opening,Goods,0 bids,3
1850,2022-2023,Principal Secretary- P and RD- Assam Secretariat,Technical Bid Opening,Goods,4 and more bids,2
1851,2022-2023,Principal Secretary-Department of Information Technology,AOC,Goods,0 bids,3
1852,2022-2023,Principal Secretary-Department of Information Technology,AOC,Goods,4 and more bids,1
1853,2022-2023,Principal Secretary-Department of Information Technology,AOC,Works,0 bids,8
1854,2022-2023,Principal Secretary-Department of Information Technology,AOC,Works,4 and more bids,2
1855,2022-2023,Principal Secretary-Department of Information Technology,Cancelled,Goods,0 bids,3
1856,2022-2023,Principal Secretary-Department of Information Technology,Cancelled,Works,0 bids,2
1857,2022-2023,Principal Secretary-Department of Information Technology,Cancelled,Works,4 and more bids,1
1858,2022-2023,Principal Secretary-Department of Information Technology,Financial Bid Opening,Services,4 and more bids,1
1859,2022-2023,Principal Secretary-Department of Information Technology,Financial Evaluation,Works,0 bids,1
1860,2022-2023,Principal Secretary-Department of Information Technology,Retender,Services,0 bids,1
1861,2022-2023,Principal Secretary-Department of Information Technology,To Be Opened,Works,4 and more bids,1
1862,2022-2023,Public Health Engineering Department,AOC,Goods,3 bids,1
1863,2022-2023,Public Health Engineering Department,AOC,Services,0 bids,4
1864,2022-2023,Public Health Engineering Department,AOC,Works,0 bids,3
1865,2022-2023,Public Health Engineering Department,Cancelled,Works,0 bids,1
1866,2022-2023,Public Health Engineering Department,Financial Bid Opening,Goods,0 bids,1
1867,2022-2023,Public Health Engineering Department,Financial Evaluation,Goods,0 bids,4
1868,2022-2023,Public Health Engineering Department,Financial Evaluation,Services,0 bids,2
1869,2022-2023,Public Health Engineering Department,Financial Evaluation,Works,0 bids,1
1870,2022-2023,Public Health Engineering Department,Retender,Goods,0 bids,1
1871,2022-2023,Public Health Engineering Department,Retender,Services,0 bids,1
1872,2022-2023,Public Health Engineering Department,Retender,Works,0 bids,2
1873,2022-2023,Public Health Engineering Department,Technical Bid Opening,Services,0 bids,1
1874,2022-2023,Public Health Engineering Department,Technical Evaluation,Works,0 bids,5
1875,2022-2023,Public Health Engineering Department,To Be Opened,Services,0 bids,1
1876,2022-2023,Public Health Engineering Department,To Be Opened,Works,4 and more bids,1
1877,2022-2023,Public Works Building and NH Department,AOC,Works,0 bids,409
1878,2022-2023,Public Works Building and NH Department,AOC,Works,2 bids,4
1879,2022-2023,Public Works Building and NH Department,AOC,Works,3 bids,13
1880,2022-2023,Public Works Building and NH Department,AOC,Works,4 and more bids,79
1881,2022-2023,Public Works Building and NH Department,Cancelled,Services,0 bids,8
1882,2022-2023,Public Works Building and NH Department,Cancelled,Works,0 bids,240
1883,2022-2023,Public Works Building and NH Department,Cancelled,Works,2 bids,5
1884,2022-2023,Public Works Building and NH Department,Cancelled,Works,3 bids,12
1885,2022-2023,Public Works Building and NH Department,Cancelled,Works,4 and more bids,45
1886,2022-2023,Public Works Building and NH Department,Financial Bid Opening,Works,0 bids,57
1887,2022-2023,Public Works Building and NH Department,Financial Bid Opening,Works,3 bids,3
1888,2022-2023,Public Works Building and NH Department,Financial Bid Opening,Works,4 and more bids,12
1889,2022-2023,Public Works Building and NH Department,Financial Evaluation,Works,0 bids,9
1890,2022-2023,Public Works Building and NH Department,Financial Evaluation,Works,4 and more bids,1
1891,2022-2023,Public Works Building and NH Department,Retender,Works,0 bids,4
1892,2022-2023,Public Works Building and NH Department,Retender,Works,3 bids,1
1893,2022-2023,Public Works Building and NH Department,Retender,Works,4 and more bids,1
1894,2022-2023,Public Works Building and NH Department,Technical Bid Opening,Works,0 bids,27
1895,2022-2023,Public Works Building and NH Department,Technical Bid Opening,Works,2 bids,1
1896,2022-2023,Public Works Building and NH Department,Technical Bid Opening,Works,3 bids,1
1897,2022-2023,Public Works Building and NH Department,Technical Bid Opening,Works,4 and more bids,2
1898,2022-2023,Public Works Building and NH Department,Technical Evaluation,Works,0 bids,4
1899,2022-2023,Public Works Building and NH Department,To Be Opened,Works,0 bids,1
1900,2022-2023,Public Works Roads Department,AOC,Goods,0 bids,1
1901,2022-2023,Public Works Roads Department,AOC,Works,0 bids,838
1902,2022-2023,Public Works Roads Department,AOC,Works,2 bids,13
1903,2022-2023,Public Works Roads Department,AOC,Works,3 bids,30
1904,2022-2023,Public Works Roads Department,AOC,Works,4 and more bids,192
1905,2022-2023,Public Works Roads Department,Cancelled,Works,0 bids,177
1906,2022-2023,Public Works Roads Department,Cancelled,Works,2 bids,2
1907,2022-2023,Public Works Roads Department,Cancelled,Works,3 bids,9
1908,2022-2023,Public Works Roads Department,Cancelled,Works,4 and more bids,37
1909,2022-2023,Public Works Roads Department,Financial Bid Opening,Works,0 bids,29
1910,2022-2023,Public Works Roads Department,Financial Bid Opening,Works,2 bids,1
1911,2022-2023,Public Works Roads Department,Financial Bid Opening,Works,3 bids,4
1912,2022-2023,Public Works Roads Department,Financial Bid Opening,Works,4 and more bids,5
1913,2022-2023,Public Works Roads Department,Financial Evaluation,Works,0 bids,6
1914,2022-2023,Public Works Roads Department,Financial Evaluation,Works,4 and more bids,1
1915,2022-2023,Public Works Roads Department,Retender,Services,0 bids,1
1916,2022-2023,Public Works Roads Department,Retender,Services,4 and more bids,1
1917,2022-2023,Public Works Roads Department,Retender,Works,0 bids,10
1918,2022-2023,Public Works Roads Department,Retender,Works,4 and more bids,2
1919,2022-2023,Public Works Roads Department,Technical Bid Opening,Works,0 bids,11
1920,2022-2023,Public Works Roads Department,Technical Bid Opening,Works,2 bids,1
1921,2022-2023,Public Works Roads Department,Technical Bid Opening,Works,3 bids,2
1922,2022-2023,Public Works Roads Department,Technical Evaluation,Works,0 bids,15
1923,2022-2023,Public Works Roads Department,Technical Evaluation,Works,3 bids,1
1924,2022-2023,Public Works Roads Department,Technical Evaluation,Works,4 and more bids,8
1925,2022-2023,Public Works Roads Department,To Be Opened,Services,0 bids,7
1926,2022-2023,Public Works Roads Department,To Be Opened,Works,0 bids,53
1927,2022-2023,Public Works Roads Department,To Be Opened,Works,2 bids,1
1928,2022-2023,Public Works Roads Department,To Be Opened,Works,3 bids,1
1929,2022-2023,Public Works Roads Department,To Be Opened,Works,4 and more bids,10
1930,2022-2023,Public Works Roads Department-Externally Aided Project,AOC,Works,0 bids,101
1931,2022-2023,Public Works Roads Department-Externally Aided Project,AOC,Works,2 bids,2
1932,2022-2023,Public Works Roads Department-Externally Aided Project,AOC,Works,3 bids,2
1933,2022-2023,Public Works Roads Department-Externally Aided Project,AOC,Works,4 and more bids,22
1934,2022-2023,Public Works Roads Department-Externally Aided Project,Cancelled,Works,0 bids,23
1935,2022-2023,Public Works Roads Department-Externally Aided Project,Cancelled,Works,3 bids,2
1936,2022-2023,Public Works Roads Department-Externally Aided Project,Cancelled,Works,4 and more bids,7
1937,2022-2023,Public Works Roads Department-Externally Aided Project,Financial Bid Opening,Services,0 bids,1
1938,2022-2023,Public Works Roads Department-Externally Aided Project,Financial Bid Opening,Services,3 bids,1
1939,2022-2023,Public Works Roads Department-Externally Aided Project,Technical Bid Opening,Services,0 bids,2
1940,2022-2023,Public Works Roads Department-Externally Aided Project,Technical Evaluation,Works,0 bids,7
1941,2022-2023,Public Works Roads Department-Externally Aided Project,Technical Evaluation,Works,4 and more bids,3
1942,2022-2023,SECONDARY EDUCATION DEPARTMENT ASSAM,AOC,Goods,0 bids,3
1943,2022-2023,Science Technology and Climate Change Department,AOC,Goods,0 bids,2
1944,2022-2023,Science Technology and Climate Change Department,AOC,Goods,4 and more bids,1
1945,2022-2023,Science Technology and Climate Change Department,AOC,Services,4 and more bids,1
1946,2022-2023,Science Technology and Climate Change Department,Cancelled,Goods,0 bids,1
1947,2022-2023,Science Technology and Climate Change Department,Financial Bid Opening,Goods,4 and more bids,1
1948,2022-2023,Skill Employment and Entrepreneurship Department,AOC,Services,0 bids,5
1949,2022-2023,Skill Employment and Entrepreneurship Department,AOC,Services,3 bids,1
1950,2022-2023,Skill Employment and Entrepreneurship Department,AOC,Services,4 and more bids,1
1951,2022-2023,Skill Employment and Entrepreneurship Department,AOC,Works,0 bids,2
1952,2022-2023,Skill Employment and Entrepreneurship Department,Cancelled,Services,0 bids,1
1953,2022-2023,Social Welfare Department,AOC,Goods,0 bids,1
1954,2022-2023,Social Welfare Department,Cancelled,Goods,2 bids,1
1955,2022-2023,Social Welfare Department,Cancelled,Services,0 bids,1
1956,2022-2023,Social Welfare Department,Financial Evaluation,Goods,0 bids,1
1957,2022-2023,Social Welfare Department,Technical Bid Opening,Goods,0 bids,1
1958,2022-2023,Soil Conservation Department,AOC,Works,0 bids,6
1959,2022-2023,Soil Conservation Department,AOC,Works,3 bids,1
1960,2022-2023,Soil Conservation Department,AOC,Works,4 and more bids,5
1961,2022-2023,Soil Conservation Department,Cancelled,Works,0 bids,7
1962,2022-2023,Transformation and Development Department,AOC,Services,0 bids,2
1963,2022-2023,Transformation and Development Department,Financial Evaluation,Services,0 bids,1
1964,2022-2023,Transport Department,AOC,Services,4 and more bids,1
1965,2022-2023,Transport Department,Cancelled,Services,0 bids,1
1966,2022-2023,Transport Department,To Be Opened,Services,0 bids,1
1967,2022-2023,Transport Department- Externally Funded Projects,AOC,Goods,0 bids,1
1968,2022-2023,Transport Department- Externally Funded Projects,AOC,Services,0 bids,1
1969,2022-2023,Transport Department- Externally Funded Projects,AOC,Services,4 and more bids,1
1970,2022-2023,Transport Department- Externally Funded Projects,Cancelled,Works,0 bids,1
1971,2022-2023,Transport Department- Externally Funded Projects,Financial Evaluation,Services,0 bids,1
1972,2022-2023,Urban Affairs Department Externally Aided Project,AOC,Services,0 bids,1
1973,2022-2023,Urban Affairs Department Externally Aided Project,AOC,Services,4 and more bids,1
1974,2022-2023,Urban Affairs Department Externally Aided Project,AOC,Works,0 bids,3
1975,2022-2023,Urban Affairs Department Externally Aided Project,Cancelled,Goods,0 bids,1
1976,2022-2023,Urban Affairs Department Externally Aided Project,Cancelled,Works,0 bids,2
1977,2022-2023,Urban Development Department,AOC,Goods,0 bids,2
1978,2022-2023,Urban Development Department,AOC,Goods,4 and more bids,2
1979,2022-2023,Urban Development Department,AOC,Services,0 bids,3
1980,2022-2023,Urban Development Department,AOC,Works,0 bids,15
1981,2022-2023,Urban Development Department,AOC,Works,4 and more bids,1
1982,2022-2023,Urban Development Department,Cancelled,Goods,0 bids,2
1983,2022-2023,Urban Development Department,Cancelled,Goods,4 and more bids,1
1984,2022-2023,Urban Development Department,Cancelled,Services,0 bids,5
1985,2022-2023,Urban Development Department,Cancelled,Services,4 and more bids,2
1986,2022-2023,Urban Development Department,Cancelled,Works,0 bids,9
1987,2022-2023,Urban Development Department,Cancelled,Works,2 bids,1
1988,2022-2023,Urban Development Department,Cancelled,Works,4 and more bids,4
1989,2022-2023,Urban Development Department,Financial Bid Opening,Services,0 bids,1
1990,2022-2023,Urban Development Department,Financial Bid Opening,Works,0 bids,2
1991,2022-2023,Urban Development Department,Financial Bid Opening,Works,4 and more bids,1
1992,2022-2023,Urban Development Department,Financial Evaluation,Services,0 bids,1
1993,2022-2023,Urban Development Department,Financial Evaluation,Works,0 bids,3
1994,2022-2023,Urban Development Department,Financial Evaluation,Works,3 bids,1
1995,2022-2023,Urban Development Department,Financial Evaluation,Works,4 and more bids,1
1996,2022-2023,Urban Development Department,Retender,Works,0 bids,4
1997,2022-2023,Urban Development Department,Technical Bid Opening,Services,0 bids,2
1998,2022-2023,Urban Development Department,Technical Evaluation,Services,0 bids,1
1999,2022-2023,Urban Development Department,Technical Evaluation,Works,0 bids,4
2000,2022-2023,Urban Development Department,To Be Opened,Goods,0 bids,1
2001,2022-2023,Urban Development Department,To Be Opened,Services,0 bids,1
2002,2022-2023,Urban Development Department,To Be Opened,Works,0 bids,3
2003,2022-2023,Water Resources Department- World Bank Tenders,AOC,Goods,0 bids,2
2004,2022-2023,Water Resources Department- World Bank Tenders,AOC,Services,4 and more bids,1
2005,2022-2023,Water Resources Department- World Bank Tenders,AOC,Works,0 bids,3
2006,2022-2023,Water Resources Department- World Bank Tenders,Financial Evaluation,Goods,0 bids,2
2007,2022-2023,Water Resources Department- World Bank Tenders,To Be Opened,Goods,0 bids,1
2008,2022-2023,Welfare of Minorities Development Department,Cancelled,Goods,0 bids,1
2009,2022-2023,Welfare of Minorities Development Department,Cancelled,Services,0 bids,7
2010,2022-2023,Welfare of Plain Tribes and Backward Classes,AOC,Goods,0 bids,8
2011,2022-2023,Welfare of Plain Tribes and Backward Classes,AOC,Works,0 bids,69
2012,2022-2023,Welfare of Plain Tribes and Backward Classes,AOC,Works,2 bids,1
2013,2022-2023,Welfare of Plain Tribes and Backward Classes,AOC,Works,3 bids,2
2014,2022-2023,Welfare of Plain Tribes and Backward Classes,AOC,Works,4 and more bids,10
2015,2022-2023,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,0 bids,5
2016,2022-2023,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,3 bids,1
2017,2022-2023,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,0 bids,4
2018,2022-2023,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Goods,0 bids,10
2019,2022-2023,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Goods,4 and more bids,3
2020,2022-2023,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Works,0 bids,1
2021,2022-2023,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,0 bids,2
2022,2022-2023,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,4 and more bids,1
2023,2022-2023,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Works,0 bids,1
2024,2022-2023,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Goods,0 bids,12
2025,2022-2023,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Goods,3 bids,1
2026,2022-2023,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Goods,4 and more bids,3
2027,2022-2023,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Works,0 bids,1
2028,2022-2023,Welfare of Plain Tribes and Backward Classes,To Be Opened,Goods,0 bids,2
2029,2023-2024,Assam Agricultural University,AOC,Goods,0 bids,1
2030,2023-2024,Assam Electricity Grid Corporation Ltd,AOC,Works,0 bids,1
2031,2023-2024,Assam Electricity Grid Corporation Ltd,Cancelled,Works,0 bids,1
2032,2023-2024,Assam Police Housing Corporation Ltd,AOC,Works,0 bids,11
2033,2023-2024,Assam Police Housing Corporation Ltd,AOC,Works,4 and more bids,4
2034,2023-2024,Assam Power Generation Company Limited,Financial Bid Opening,Works,0 bids,1
2035,2023-2024,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,0 bids,1
2036,2023-2024,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,4 and more bids,5
2037,2023-2024,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Works,0 bids,1
2038,2023-2024,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Works,4 and more bids,1
2039,2023-2024,Bodoland Territorial Council,AOC,Works,0 bids,8
2040,2023-2024,Bodoland Territorial Council,Cancelled,Goods,0 bids,1
2041,2023-2024,Bodoland Territorial Council,Cancelled,Works,0 bids,1
2042,2023-2024,Bodoland Territorial Council,Financial Bid Opening,Works,0 bids,6
2043,2023-2024,Bodoland Territorial Council,Financial Evaluation,Works,0 bids,1
2044,2023-2024,Bodoland Territorial Council,To Be Opened,Goods,0 bids,1
2045,2023-2024,Bodoland Territorial Council-PWD,Cancelled,Works,0 bids,1
2046,2023-2024,Department of Tourism,To Be Opened,Services,0 bids,3
2047,2023-2024,Department of Water Resources,AOC,Works,0 bids,2
2048,2023-2024,Department of Water Resources,Financial Bid Opening,Works,0 bids,1
2049,2023-2024,Department of Water Resources,Financial Evaluation,Works,0 bids,1
2050,2023-2024,Department of Water Resources,Technical Evaluation,Goods,0 bids,2
2051,2023-2024,Dibrugarh University,Technical Evaluation,Goods,4 and more bids,1
2052,2023-2024,Finance Department - World Bank Tenders,AOC,Goods,0 bids,1
2053,2023-2024,Guwahati Metropolitan Development Authority,AOC,Works,0 bids,1
2054,2023-2024,Health and Family Welfare Department,AOC,Services,0 bids,1
2055,2023-2024,Health and Family Welfare Department,Cancelled,Goods,4 and more bids,1
2056,2023-2024,Industries and Commerce Department,AOC,Goods,0 bids,1
2057,2023-2024,Industries and Commerce Department,Cancelled,Goods,0 bids,2
2058,2023-2024,Industries and Commerce Department,Cancelled,Goods,3 bids,1
2059,2023-2024,Industries and Commerce Department,Technical Evaluation,Services,0 bids,1
2060,2023-2024,Industries and Commerce Department,To Be Opened,Goods,0 bids,1
2061,2023-2024,Industries and Commerce Department,To Be Opened,Goods,4 and more bids,1
2062,2023-2024,Inland Water Transport,Technical Evaluation,Services,0 bids,3
2063,2023-2024,Inland Water Transport,Technical Evaluation,Services,4 and more bids,4
2064,2023-2024,Inland Water Transport,To Be Opened,Services,0 bids,9
2065,2023-2024,Inland Water Transport,To Be Opened,Services,4 and more bids,2
2066,2023-2024,Irrigation Department,AOC,Works,0 bids,1
2067,2023-2024,Irrigation Department,Cancelled,Works,0 bids,4
2068,2023-2024,Karbi Anglong Autonomous Council,Financial Bid Opening,Works,0 bids,2
2069,2023-2024,National Health Mission,AOC,Works,0 bids,3
2070,2023-2024,National Health Mission,AOC,Works,4 and more bids,2
2071,2023-2024,National Health Mission,Cancelled,Works,0 bids,4
2072,2023-2024,National Health Mission,Cancelled,Works,4 and more bids,1
2073,2023-2024,National Health Mission,Financial Bid Opening,Works,0 bids,1
2074,2023-2024,National Health Mission,Technical Evaluation,Works,0 bids,8
2075,2023-2024,National Health Mission,Technical Evaluation,Works,4 and more bids,1
2076,2023-2024,Principal Secretary-Department of Information Technology,Cancelled,Works,4 and more bids,1
2077,2023-2024,Principal Secretary-Department of Information Technology,To Be Opened,Works,0 bids,1
2078,2023-2024,Public Health Engineering Department,Retender,Works,4 and more bids,1
2079,2023-2024,Public Works Building and NH Department,AOC,Works,0 bids,5
2080,2023-2024,Public Works Building and NH Department,Cancelled,Works,0 bids,2
2081,2023-2024,Public Works Building and NH Department,Cancelled,Works,4 and more bids,1
2082,2023-2024,Public Works Building and NH Department,Financial Evaluation,Works,0 bids,1
2083,2023-2024,Public Works Building and NH Department,To Be Opened,Works,0 bids,1
2084,2023-2024,Public Works Roads Department,Cancelled,Works,0 bids,2
2085,2023-2024,SECONDARY EDUCATION DEPARTMENT ASSAM,To Be Opened,Services,0 bids,1
2086,2023-2024,Urban Development Department,Cancelled,Works,0 bids,1
2087,2023-2024,Urban Development Department,Cancelled,Works,2 bids,1
2088,2023-2024,Urban Development Department,Financial Evaluation,Works,4 and more bids,1
